Price,Close,High,Low,Open,Volume,RSI,EMA_20,MACD,MACD_SIGNAL,ATR,Bullish,Bearish,Close_lag1,RSI_lag1,Target
2026-04-09 14:00:00+00:00,4794.0,4801.7998046875,4772.5,4790.0,10881,58.76826384337579,4767.477894215399,-2.617170136030836,-11.246260355669975,25.108866007499177,1,0,4789.60009765625,57.43003455794486,1
2026-04-09 15:00:00+00:00,4817.39990234375,4823.89990234375,4786.2001953125,4794.0,16462,65.05920600831482,4772.232371180004,1.5197201246992336,-8.693064259596133,26.00821179490995,1,0,4794.0,58.76826384337579,0
2026-04-09 16:00:00+00:00,4813.0,4825.5,4808.7998046875,4817.7001953125,6507,63.10939828793401,4776.1150024961935,4.3925653542628424,-6.075938336824338,25.343353474737814,0,1,4817.39990234375,65.05920600831482,1
2026-04-09 17:00:00+00:00,4822.2998046875,4826.0,4810.89990234375,4813.5,8397,65.4652848692445,4780.513555085841,7.335177057861074,-3.393715257887256,24.611692344845828,1,0,4813.0,63.10939828793401,0
2026-04-09 18:00:00+00:00,4796.60009765625,4822.7001953125,4792.2001953125,4822.60009765625,6445,55.01033494416112,4782.045606759214,7.506931227043424,-1.21358596090112,25.03228574878541,0,1,4822.2998046875,65.4652848692445,0
2026-04-09 19:00:00+00:00,4793.0,4806.89990234375,4790.7001953125,4796.60009765625,3483,53.71617845174849,4783.088882305956,7.268760108075185,0.482883252894141,24.40138726896145,0,1,4796.60009765625,55.01033494416112,0
2026-04-09 20:00:00+00:00,4790.5,4797.39990234375,4784.60009765625,4793.0,1549,52.78746082431793,4783.794703038722,6.799893731582415,1.746285348631796,23.57270279885706,0,1,4793.0,53.71617845174849,0
2026-04-09 22:00:00+00:00,4787.60009765625,4810.0,4782.2001953125,4790.5,0,51.671477994845475,4784.157121573725,6.12372537236206,2.621773353377849,23.874638648045842,0,1,4790.5,52.78746082431793,0
2026-04-09 23:00:00+00:00,4787.0,4787.39990234375,4779.7998046875,4787.39990234375,1829,51.429174579586196,4784.427871900037,5.476306755124824,3.1926800337272443,22.72647109952471,0,1,4787.60009765625,51.671477994845475,0
2026-04-10 00:00:00+00:00,4786.39990234375,4786.60009765625,4773.7998046875,4786.60009765625,3505,51.170761071929306,4784.6156843232475,4.858790854453218,3.525902197872439,22.046022829022945,0,1,4787.0,51.429174579586196,1
2026-04-10 01:00:00+00:00,4787.2998046875,4800.39990234375,4781.2998046875,4786.2001953125,5109,51.5637984647585,4784.871314834129,4.391398345969719,3.699001427491895,21.835599602396307,1,0,4786.39990234375,51.170761071929306,0
2026-04-10 02:00:00+00:00,4775.5,4788.2001953125,4760.39990234375,4787.5,6207,46.30109068410099,4783.978808659451,3.0338682477740804,3.5659747915483324,22.261649128564425,0,1,4787.2998046875,51.5637984647585,1
2026-04-10 03:00:00+00:00,4789.10009765625,4793.2998046875,4775.2001953125,4775.60009765625,3908,52.33891126906145,4784.46655046867,3.0206103685150083,3.4569019069416678,21.964360574738397,1,0,4775.5,46.30109068410099,0
2026-04-10 04:00:00+00:00,4781.7998046875,4794.60009765625,4781.7998046875,4790.39990234375,2078,49.14462585962735,4784.212574679987,2.3934406779299024,3.244209661139315,21.3097843171678,0,1,4789.10009765625,52.33891126906145,1
2026-04-10 05:00:00+00:00,4789.89990234375,4793.0,4781.2998046875,4782.5,2041,52.60123822254113,4784.754224933678,2.5209543723813113,3.0995586033877145,20.62338510254867,1,0,4781.7998046875,49.14462585962735,0
2026-04-10 06:00:00+00:00,4769.7001953125,4790.2001953125,4766.2998046875,4790.0,4933,44.481646712065604,4783.320507826899,0.9807567986199501,2.675798242434162,20.85745692558091,0,1,4789.89990234375,52.60123822254113,1
2026-04-10 07:00:00+00:00,4773.0,4781.2001953125,4764.60009765625,4769.60009765625,2815,45.949444480501356,4782.337602319575,0.026104864919943793,2.1458595669313185,20.553359834914414,1,0,4769.7001953125,44.481646712065604,0
2026-04-10 08:00:00+00:00,4763.10009765625,4776.5,4752.7001953125,4773.2998046875,6126,42.33335096770374,4780.505459018306,-1.5118750976225783,1.4143126340205392,20.785248752956242,0,1,4773.0,45.949444480501356,1
2026-04-10 09:00:00+00:00,4774.60009765625,4783.2998046875,4763.10009765625,4763.60009765625,4786,47.501747735562034,4779.943043650491,-1.7822368905253825,0.7750027291113548,20.743424344262937,1,0,4763.10009765625,42.33335096770374,1
2026-04-10 10:00:00+00:00,4780.7001953125,4784.0,4765.2998046875,4774.7001953125,3004,50.05865510461991,4780.015153332587,-1.4871309392747207,0.3225759954341397,20.597479413422725,1,0,4774.60009765625,47.501747735562034,1
2026-04-10 11:00:00+00:00,4792.0,4792.89990234375,4777.10009765625,4780.7001953125,2403,54.4812699464244,4781.156567300912,-0.3375662908383674,0.19054753817963827,20.254788361571105,1,0,4780.7001953125,50.05865510461991,1
2026-04-10 12:00:00+00:00,4795.5,4806.89990234375,4783.89990234375,4792.10009765625,9756,55.78728406017579,4782.522608510349,0.8461389612502899,0.32166582279376865,20.45087490717317,1,0,4792.0,54.4812699464244,1
2026-04-10 13:00:00+00:00,4799.2998046875,4804.39990234375,4788.89990234375,4795.39990234375,9565,57.22228833665208,4784.120436717696,2.067019074439486,0.6707364731229122,20.097240985232226,1,0,4795.5,55.78728406017579,0
2026-04-10 14:00:00+00:00,4799.2998046875,4820.0,4791.7001953125,4799.10009765625,12260,57.22228833665208,4785.566090810058,2.999993304722011,1.136587839442732,20.683138392537067,1,0,4799.2998046875,57.22228833665208,0
2026-04-10 15:00:00+00:00,4785.7998046875,4811.89990234375,4779.2998046875,4799.39990234375,9232,50.47232829812485,4785.588349274576,2.619844985943928,1.4332392687429714,21.534349768516563,0,1,4799.2998046875,57.22228833665208,1
2026-04-10 16:00:00+00:00,4788.10009765625,4790.7001953125,4768.39990234375,4785.89990234375,8217,51.52167180996171,4785.827563406165,2.4756513549391457,1.6417216859822064,21.589059997104666,1,0,4785.7998046875,50.47232829812485,0
2026-04-10 17:00:00+00:00,4784.5,4793.2998046875,4782.10009765625,4788.39990234375,6905,49.74528513449686,4785.701128796054,2.0472793084409204,1.7228332104739492,20.846963356686476,0,1,4788.10009765625,51.52167180996171,1
2026-04-10 18:00:00+00:00,4789.5,4797.7001953125,4775.10009765625,4784.7001953125,4567,52.2097750258218,4786.0629260535725,2.0871897642218755,1.7957045212235347,20.972187235226727,1,0,4784.5,49.74528513449686,0
2026-04-10 19:00:00+00:00,4783.60009765625,4794.60009765625,4782.0,4789.5,2701,49.1470554582722,4785.828370968114,1.6240255210814212,1.7613687211951121,20.37418083672839,0,1,4789.5,52.2097750258218,0
2026-04-10 20:00:00+00:00,4771.0,4783.5,4764.0,4783.5,3254,43.30450749418561,4784.416145161626,0.23750414409278164,1.4565958057746462,20.318889180979934,0,1,4783.60009765625,49.1470554582722,0
2026-04-12 22:00:00+00:00,4680.60009765625,4707.39990234375,4665.2001953125,4688.7001953125,6936,22.571957016145916,4774.528902542067,-8.062896599134547,-0.44730267520719247,26.424668860017082,0,1,4771.0,43.30450749418561,1
2026-04-12 23:00:00+00:00,4693.60009765625,4694.2001953125,4664.60009765625,4680.5,3815,27.91655720879342,4766.821397314847,-13.437137676032762,-3.0452696753723063,26.651485202605148,1,0,4680.60009765625,22.571957016145916,1
2026-04-13 00:00:00+00:00,4718.0,4721.0,4686.89990234375,4693.7001953125,3775,36.74245141663012,4762.171740427718,-15.548164684060794,-5.545848677110004,27.183528949294068,1,0,4693.60009765625,27.91655720879342,1
2026-04-13 01:00:00+00:00,4743.10009765625,4749.5,4716.0,4717.5,7086,44.29799983757263,4760.355393497101,-15.022629168666754,-7.441204775421355,27.63470545291592,1,0,4718.0,36.74245141663012,0
2026-04-13 02:00:00+00:00,4742.0,4749.5,4732.5,4743.7001953125,2759,44.04966550702417,4758.607260783092,-14.527443843786386,-8.858452589094362,26.875083634850494,0,1,4743.10009765625,44.29799983757263,0
2026-04-13 03:00:00+00:00,4741.60009765625,4745.7998046875,4733.7001953125,4742.5,1479,43.95320476807959,4756.987530961488,-14.005824259477777,-9.887926923171046,25.819692616289746,0,1,4742.0,44.04966550702417,1
2026-04-13 04:00:00+00:00,4744.7001953125,4747.0,4729.2001953125,4740.0,2648,44.959434090331655,4755.817308518727,-13.190236176578765,-10.54838877385259,25.24684347851905,1,0,4741.60009765625,43.95320476807959,1
2026-04-13 05:00:00+00:00,4751.10009765625,4752.60009765625,4737.89990234375,4744.89990234375,2387,47.07201897348958,4755.368050341348,-11.89039306225186,-10.816789631532444,24.493511466660546,1,0,4744.7001953125,44.959434090331655,0
2026-04-13 06:00:00+00:00,4747.89990234375,4754.7001953125,4742.7001953125,4751.5,3468,46.118790498159065,4754.656798151101,-10.991780640773868,-10.85178783338073,23.601117790470507,0,1,4751.10009765625,47.07201897348958,1
2026-04-13 07:00:00+00:00,4756.39990234375,4762.5,4747.39990234375,4748.0,3696,49.06893997256734,4754.82280807421,-9.484414434306927,-10.57831315356597,22.993902066597617,1,0,4747.89990234375,46.118790498159065,0
