Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-04-08 04:00:00+00:00,4832.7001953125,4836.10009765625,4819.7998046875,4826.7998046875,0
2026-04-08 05:00:00+00:00,4855.5,4872.2001953125,4829.39990234375,4833.0,6295
2026-04-08 06:00:00+00:00,4846.60009765625,4866.7998046875,4846.2001953125,4855.2001953125,10373
2026-04-08 07:00:00+00:00,4839.7001953125,4847.2998046875,4831.0,4846.7998046875,5643
2026-04-08 08:00:00+00:00,4821.7998046875,4846.0,4817.5,4839.89990234375,6574
2026-04-08 09:00:00+00:00,4810.2001953125,4834.0,4802.89990234375,4821.89990234375,7407
2026-04-08 10:00:00+00:00,4809.7001953125,4823.10009765625,4798.2001953125,4810.2998046875,5244
2026-04-08 11:00:00+00:00,4826.39990234375,4830.39990234375,4806.39990234375,4809.2998046875,7574
2026-04-08 12:00:00+00:00,4827.10009765625,4834.7998046875,4793.7001953125,4826.2998046875,11105
2026-04-08 13:00:00+00:00,4804.10009765625,4833.60009765625,4792.7998046875,4826.60009765625,14078
2026-04-08 14:00:00+00:00,4762.2001953125,4818.7998046875,4757.60009765625,4803.7001953125,20500
2026-04-08 15:00:00+00:00,4782.0,4788.7998046875,4759.89990234375,4761.60009765625,10212
2026-04-08 16:00:00+00:00,4785.89990234375,4791.10009765625,4770.89990234375,4782.2001953125,6265
2026-04-08 17:00:00+00:00,4759.5,4789.89990234375,4755.5,4785.7001953125,10144
2026-04-08 18:00:00+00:00,4730.10009765625,4769.7998046875,4728.10009765625,4759.10009765625,11362
2026-04-08 19:00:00+00:00,4755.2998046875,4756.60009765625,4720.60009765625,4729.2998046875,6064
2026-04-08 20:00:00+00:00,4745.0,4757.2998046875,4742.10009765625,4755.2001953125,1801
2026-04-08 22:00:00+00:00,4741.5,4757.7001953125,4728.5,4744.7998046875,0
2026-04-08 23:00:00+00:00,4738.7998046875,4743.39990234375,4728.5,4741.2001953125,2259
2026-04-09 00:00:00+00:00,4730.39990234375,4742.39990234375,4718.60009765625,4739.39990234375,3881
2026-04-09 01:00:00+00:00,4751.2001953125,4752.2001953125,4722.39990234375,4730.2001953125,5911
2026-04-09 02:00:00+00:00,4742.10009765625,4756.60009765625,4741.0,4751.5,3799
2026-04-09 03:00:00+00:00,4735.0,4743.39990234375,4728.0,4742.2001953125,3062
2026-04-09 04:00:00+00:00,4744.2001953125,4748.39990234375,4733.0,4734.60009765625,1950
2026-04-09 05:00:00+00:00,4736.39990234375,4749.60009765625,4729.10009765625,4743.89990234375,3592
2026-04-09 06:00:00+00:00,4736.2998046875,4749.2001953125,4727.2001953125,4736.7001953125,4878
2026-04-09 07:00:00+00:00,4748.39990234375,4755.2001953125,4729.5,4736.5,8895
2026-04-09 08:00:00+00:00,4750.5,4758.60009765625,4744.10009765625,4748.2998046875,4214
2026-04-09 09:00:00+00:00,4753.89990234375,4758.5,4747.7001953125,4750.10009765625,3833
2026-04-09 10:00:00+00:00,4765.7001953125,4771.39990234375,4748.10009765625,4753.89990234375,3965
2026-04-09 11:00:00+00:00,4781.2998046875,4782.7001953125,4762.89990234375,4765.7998046875,4044
2026-04-09 12:00:00+00:00,4770.89990234375,4785.0,4759.60009765625,4781.7001953125,6789
2026-04-09 13:00:00+00:00,4789.60009765625,4802.7998046875,4763.89990234375,4771.2998046875,11381
2026-04-09 14:00:00+00:00,4794.0,4801.7998046875,4772.5,4790.0,10881
2026-04-09 15:00:00+00:00,4817.39990234375,4823.89990234375,4786.2001953125,4794.0,16462
2026-04-09 16:00:00+00:00,4813.0,4825.5,4808.7998046875,4817.7001953125,6507
2026-04-09 17:00:00+00:00,4822.2998046875,4826.0,4810.89990234375,4813.5,8397
2026-04-09 18:00:00+00:00,4796.60009765625,4822.7001953125,4792.2001953125,4822.60009765625,6445
2026-04-09 19:00:00+00:00,4793.0,4806.89990234375,4790.7001953125,4796.60009765625,3483
2026-04-09 20:00:00+00:00,4790.5,4797.39990234375,4784.60009765625,4793.0,1549
2026-04-09 22:00:00+00:00,4787.60009765625,4810.0,4782.2001953125,4790.5,0
2026-04-09 23:00:00+00:00,4787.0,4787.39990234375,4779.7998046875,4787.39990234375,1829
